sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
176400,0.48,13,27,1,-95.0006,0.585938,26,0.147392,"-0.000884638;-0.00224702;0.00299112;0.00299112;-0.00276897;0.00299112;-0.00299112;-0.00299112;-0.00299112;-0.00299112;-0.00299112;-0.00299112;0.259631;0.510485;0.259631;-0.00299112;-0.00299112;-0.00299112;-0.00299112;-0.00299112;-0.00299112;0.00299112;-0.00276897;0.00299112;0.00299112;-0.00224702;-0.000884638"
176400,0.49,13,27,1,-94.9936,100,12,0.0680272,"0.00027552;-0.00027552;0.00027552;-0.00027552;0.00027552;-0.00027552;0.00027552;0.109765;-0.0448822;-0.282132;0.145694;0.282132;0.148081;0.282132;0.148081;0.282132;0.145694;-0.282132;-0.0448822;0.109765;0.00027552;-0.00027552;0.00027552;-0.00027552;0.00027552;-0.00027552;0.00027552"
176400,0.51,13,27,1,-94.9997,0.488281,26,0.147392,"-0.0016262;0.000415449;0.000105402;0.00251092;0.00251092;-0.00251092;-0.00251092;-0.00251092;-0.00251092;-0.00251092;-0.00251092;-0.00251092;0.256542;0.514237;0.256542;-0.00251092;-0.00251092;-0.00251092;-0.00251092;-0.00251092;-0.00251092;-0.00251092;0.00251092;0.00251092;0.000105402;0.000415449;-0.0016262"
176400,0.52,13,27,1,-94.9928,100,26,0.147392,"0.0493145;-0.0345681;-0.0252708;0.157156;-0.178803;-0.173432;0.178803;0.178803;0.178803;-0.357606;-0.310448;0.300839;0.357606;0.357606;0.357606;0.300839;-0.310448;-0.357606;0.178803;0.178803;0.178803;-0.173432;-0.178803;0.157156;-0.0252708;-0.0345681;0.0493145"
192000,0.03,17,35,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
192000,0.04,17,35,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
192000,0.06,17,35,1,-94.999,0.78125,34,0.177083,"0.00406824;0.00214093;-0.00406824;-0.00406824;-0.00406824;0.00376038;0.00406824;0.00406824;0.00287381;-0.00406824;-0.00406824;-0.00406824;-0.00406824;-0.00406824;-0.00406824;-0.00406824;0.259335;0.520734;0.259335;-0.00406824;-0.00406824;-0.00406824;-0.00406824;-0.00406824;-0.00406824;-0.00406824;0.00287381;0.00406824;0.00406824;0.00376038;-0.00406824;-0.00406824;-0.00406824;0.00214093;0.00406824"
192000,0.07,17,35,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
192000,0.08,13,27,1,-94.9931,0.78125,26,0.135417,"-0.00365495;0.00033043;0.00290622;0.00408063;0.00408063;-0.00332504;-0.00408063;-0.00408063;-0.00408063;-0.00408063;-0.00408063;-0.00408063;0.258906;0.522321;0.258906;-0.00408063;-0.00408063;-0.00408063;-0.00408063;-0.00408063;-0.00408063;-0.00332504;0.00408063;0.00408063;0.00290622;0.00033043;-0.00365495"
192000,0.09,13,27,1,-94.9945,0.78125,26,0.135417,"-0.0031479;0.000286164;0.00220102;0.00407983;0.00407983;-0.0032309;-0.00407983;-0.00407983;-0.00407983;-0.00407983;-0.00407983;-0.00407983;0.259102;0.522218;0.259102;-0.00407983;-0.00407983;-0.00407983;-0.00407983;-0.00407983;-0.00407983;-0.0032309;0.00407983;0.00407983;0.00220102;0.000286164;-0.0031479"
